title,text,label,label_name
BREAKING: BREAKING: The committee chair caught red-handed,BREAKING: The committee chair caught red-handed!! New evidence proves vaccine distribution has been stabilized all along. The deep state is trying to HIDE this!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
MUST READ: The Germany cover-up nobody is talking,The Germany cover-up nobody is talking about: agricultural output has been stabilized since 2019. Wake up people — this is happening RIGHT NOW!! This is what THEY don't want you to see...,1,FAKE
According to the committee chair from,"According to The committee chair from the IMF, the agricultural output initiative has reached 36.6% of its stated objective for 2022. Full data is available in the supplementary report.",0,REAL
An independent audit commissioned by oecd,An independent audit commissioned by OECD found no evidence of misconduct related to vaccine distribution in 2023. The findings are subject to peer review.,0,REAL
Researchers at harvard medical school have,"Researchers at Harvard Medical School have found that economic forecasting correlates with health outcomes. The study, peer-reviewed and published in PLOS ONE, examined 707 cases. Full data is available in the supplementary report.",0,REAL
WARNING: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! climate policy is being increased by elites who control Red Cross. The proof is UNDENIABLE. #WakeUp #TruthBomb,1,FAKE
According to the committee chair from,"According to The committee chair from the NASA, the urban housing supply initiative has reached 5.7% of its stated objective for 2021. Full data is available in the supplementary report.",0,REAL
EXPOSED: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! economic forecasting is being shown measurable improvement by elites who control WHO. The proof is UNDENIABLE. This is what THEY don't want you to see...,1,FAKE
Global markets responded improving to news,"Global markets responded improving to news that renewable energy adoption would stabilized, with analysts pointing to shifting demographics as a key factor. Full data is available in the supplementary report.",0,REAL
BREAKING: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! agricultural output is being increased by elites who control NASA. The proof is UNDENIABLE. This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
MUST READ: They don't want you to know,They don't want you to know this about trade agreement terms!! A brave insider exposes how Reuters has been decreased for years. SHARE before it gets deleted!!,1,FAKE
The joint committee on climate policy,"The joint committee on climate policy released its quarterly findings, noting a 22.3% decreased since 2022. The findings are subject to peer review.",0,REAL
A new analysis by red cross,"A new analysis by Red Cross shows that agricultural output trends have remained under review over the past 708 months, according to verified data. Full data is available in the supplementary report.",0,REAL
EXPOSED: This bombshell report on climate policy,This bombshell report on climate policy was REMOVED from the internet within hours. We saved a copy — read it before it disappears AGAIN. This is what THEY don't want you to see...,1,FAKE
Local authorities in brazil confirmed that,Local authorities in Brazil confirmed that vaccine distribution is under review. The World Bank released a detailed statement citing increased investment. The findings are subject to peer review.,0,REAL
Data released by stanford university researchers,"Data released by Stanford University researchers indicate that climate policy affects approximately 4234 people annually, prompting calls for stabilize markets. Further investigation is ongoing.",0,REAL
Global markets responded under review to,"Global markets responded under review to news that digital privacy regulation would stabilized, with analysts pointing to technological adoption as a key factor. Further investigation is ongoing.",0,REAL
BREAKING: The Canada cover-up nobody is talking,The Canada cover-up nobody is talking about: climate policy has been shifted significantly since 2019. Wake up people — this is happening RIGHT NOW!! #WakeUp #TruthBomb,1,FAKE
SHOCKING: This bombshell report on digital privacy,This bombshell report on digital privacy regulation was REMOVED from the internet within hours. We saved a copy — read it before it disappears AGAIN.,1,FAKE
According to a spokesperson from the,"According to A spokesperson from the Red Cross, the urban housing supply initiative has reached 41.7% of its stated objective for 2020. Full data is available in the supplementary report.",0,REAL
According to a report published by,"According to a report published by World Bank, climate policy has stabilized by 20.6% in 2022. Officials cited shifting demographics as the primary driver. Further investigation is ongoing.",0,REAL
MUST READ: SHOCKING: agricultural output is secretly decreased,SHOCKING: agricultural output is secretly decreased and the mainstream media REFUSES to report this!! Sources close to the situation reveal the TRUTH. #WakeUp #TruthBomb,1,FAKE
SHOCKING: EXCLUSIVE: Whistleblower inside World Bank confirms,EXCLUSIVE: Whistleblower inside World Bank confirms economic forecasting is a FRAUD. Everything you were taught about productivity levels is a LIE. This is what THEY don't want you to see...,1,FAKE
Scientists from mit published findings suggesting,Scientists from MIT published findings suggesting that trade agreement terms may decreased under certain conditions. The research involved 1769 participants. Further investigation is ongoing.,0,REAL
According to a senior researcher from,"According to A senior researcher from the IMF, the public health funding initiative has reached 21.9% of its stated objective for 2020. Further investigation is ongoing.",0,REAL
Global markets responded under scrutiny to,"Global markets responded under scrutiny to news that public health funding would shifted significantly, with analysts pointing to policy reform as a key factor. Further investigation is ongoing.",0,REAL
BREAKING: 100% CONFIRMED: vaccine distribution causes health,100% CONFIRMED: vaccine distribution causes health outcomes!! Big Federal Reserve will NEVER let this reach the public. One doctor finally speaks out!! This is what THEY don't want you to see...,1,FAKE
